from	to	amount
ISL	NZL	2529798
ISL	POL	123367666
ISL	PRT	112698878
ISL	RUS	36904102
ISL	SAU	636141
ISL	SVK	10014839
ISL	SWE	39354473
ISL	TUR	14241503
ISL	USA	463594543
ISL	ZAF	743114
ISR	ARG	136103000
ISR	AUS	553844000
ISR	AUT	107553000
ISR	BEL	1957800000
ISR	BRA	1258006000
ISR	CAN	597521000
ISR	CHE	742221000
ISR	CHL	115933000
ISR	CHN	4386680000
ISR	CZE	157330000
ISR	DEU	1780474000
ISR	DNK	101892000
ISR	ESP	1124825000
ISR	EST	17359000
ISR	FIN	55566000
ISR	FRA	1269184000
ISR	GBR	2380542000
ISR	GRC	437742000
ISR	HUN	153171000
ISR	IDN	26225000
ISR	IND	2822491000
ISR	IRL	1436022000
ISR	ISL	2916000
ISR	ITA	1362212000
ISR	JPN	996690000
ISR	KOR	1157914000
ISR	LUX	19852000
ISR	MEX	382709000
ISR	NLD	2214686000
ISR	NOR	64717000
ISR	NZL	68886000
ISR	POL	221083000
ISR	PRT	79233000
ISR	RUS	786938000
ISR	SVK	22567000
ISR	SVN	358033000
ISR	SWE	148155000
ISR	TUR	1880939000
ISR	USA	16397426000
ISR	ZAF	224607000
ITA	ARG	1216151214
ITA	AUS	5096455831
ITA	AUT	13722331689
ITA	BEL	21349968593
ITA	BRA	5406951459
ITA	CAN	5708089974
ITA	CHE	32245427041
ITA	CHL	1391815282
ITA	CHN	18513083349
ITA	CZE	8603542697
ITA	DEU	79784432927
ITA	DNK	4060578839
ITA	ESP	30976942157
ITA	EST	716403255
ITA	FIN	2317481963
ITA	FRA	63235283568
ITA	GBR	27684379361
ITA	GRC	6813152465
ITA	HUN	6429331636
ITA	IDN	1216613844
ITA	IND	4577860225
ITA	IRL	3157148329
ITA	ISL	152300762
ITA	ISR	3648859029
ITA	JPN	8930153588
ITA	KOR	6233754193
ITA	LUX	784747189
ITA	MEX	4553910821
ITA	NLD	18017702129
ITA	NOR	2124351777
ITA	NZL	805458711
ITA	POL	19458503490
ITA	PRT	5230248763
ITA	RUS	9063695607
ITA	SAU	3943200548
ITA	SVK	4111920706
ITA	SVN	5441020573
ITA	SWE	6579369047
ITA	TUR	11248104697
ITA	USA	58290117224
ITA	ZAF	2657199948
JPN	ARG	869529177
JPN	AUS	15240962735
JPN	AUT	1239187130
JPN	BEL	7188120499
JPN	BRA	4184815580
JPN	CAN	8363239986
JPN	CHE	4411346957
JPN	CHL	1843342961
JPN	CHN	163597743843
JPN	CZE	2177929647
JPN	DEU	20747199092
JPN	DNK	571557758
JPN	ESP	2419793530
JPN	EST	200797725
JPN	FIN	473048018
JPN	FRA	6675544519
JPN	GBR	10357901083
JPN	GRC	262470669
JPN	HUN	1742191411
JPN	IDN	13312560118
JPN	IND	12850476244
JPN	IRL	1008045859
JPN	ISL	56711383
JPN	ISR	1720410463
JPN	ITA	5004559055
JPN	KOR	52508074992
JPN	LUX	581158768
JPN	MEX	10831235727
JPN	NLD	12588365904
JPN	NOR	1012680080
JPN	NZL	2913474221
JPN	POL	3354704172
JPN	PRT	761175586
JPN	RUS	7843142980
JPN	SAU	4457282894
JPN	SVK	141686960
JPN	SVN	199993643
JPN	SWE	1325326943
JPN	TUR	3178874785
JPN	USA	135765183043
JPN	ZAF	2354765686
LUX	ARG	6802290
LUX	AUS	27959434
LUX	AUT	304987858
LUX	BEL	2049054609
LUX	BRA	46811299
LUX	CAN	144974122
LUX	CHE	215302604
LUX	CHL	10230746
LUX	CHN	244182826
LUX	CZE	201493129
LUX	DEU	4025538000
LUX	DNK	100101526
LUX	ESP	388221233
LUX	EST	8984948
LUX	FIN	81953664
LUX	FRA	2571786738
LUX	GBR	411535511
LUX	GRC	35857198
LUX	HUN	109192220
LUX	IDN	27486303
LUX	IND	46825180
LUX	IRL	66014347
LUX	ISL	6524491
LUX	ISR	12834110
LUX	ITA	680703592
LUX	JPN	95999185
LUX	KOR	74926337
LUX	MEX	94352539
LUX	NLD	1030062919
LUX	NOR	95091497
LUX	NZL	23591087
LUX	POL	418502848
LUX	PRT	85783704
LUX	RUS	167471884
LUX	SAU	32362037
LUX	SVK	64651127
LUX	SVN	47357096
LUX	SWE	202722442
LUX	TUR	140705647
LUX	USA	418687707
LUX	ZAF	40638874
MEX	ARG	877908369
MEX	AUS	974376107
MEX	AUT	135545911
MEX	BEL	1226665623
MEX	BRA	3472996018
MEX	CAN	12895261003
MEX	CHE	1212806354
MEX	CHL	1932219673
MEX	CHN	9078868680
MEX	CZE	245399137
MEX	DEU	7427419535
MEX	DNK	137966457
MEX	ESP	1426398265
MEX	FIN	120990865
MEX	FRA	1313973911
MEX	GBR	2991725761
MEX	GRC	45490994
MEX	HUN	415076920
MEX	IDN	79774760
MEX	IND	675263457
MEX	IRL	335149379
MEX	ISR	232999376
MEX	ITA	903813552
MEX	JPN	3977214085
MEX	KOR	3308495215
MEX	LUX	4889045
MEX	NLD	2124849072
MEX	NOR	49322517
MEX	NZL	116662694
MEX	POL	322900343
MEX	PRT	33696215
MEX	RUS	475114741
MEX	SAU	236521664
MEX	SVK	46270890
MEX	SVN	12204628
MEX	SWE	54495667
MEX	TUR	269783405
MEX	USA	386086720094
MEX	ZAF	198890781
NLD	ARG	1170967758
NLD	AUS	4001857400
NLD	AUT	8687871526
NLD	BEL	74378055745
NLD	BRA	3474185993
NLD	CAN	4360779119
